state,state_string,value,mo,sc,ua,pd,ad
,Unconscious,-0.454256221639002,,,,,
12254,12254,0.0862763694193975,1,2,2,5,4
12255,12255,-0.00680118224674142,1,2,2,5,5
12311,12311,0.892633460149557,1,2,3,1,1
12312,12312,0.831613992113443,1,2,3,1,2
12313,12313,0.779352528925982,1,2,3,1,3
12314,12314,0.54700577198133,1,2,3,1,4
12315,12315,0.453928220315191,1,2,3,1,5
12321,12321,0.82555574667575,1,2,3,2,1
12322,12322,0.764536278639636,1,2,3,2,2
12323,12323,0.712274815452175,1,2,3,2,3
12324,12324,0.479928058507523,1,2,3,2,4
12325,12325,0.386850506841384,1,2,3,2,5
12331,12331,0.768105566163924,1,2,3,3,1
12332,12332,0.70708609812781,1,2,3,3,2
12333,12333,0.654824634940349,1,2,3,3,3
12334,12334,0.422477877995697,1,2,3,3,4
12335,12335,0.329400326329558,1,2,3,3,5
12341,12341,0.512690537313174,1,2,3,4,1
12342,12342,0.451671069277059,1,2,3,4,2
12343,12343,0.399409606089599,1,2,3,4,3
12344,12344,0.167062849144946,1,2,3,4,4
12345,12345,0.0739852974788072,1,2,3,4,5
12351,12351,0.410371891437573,1,2,3,5,1
12352,12352,0.349352423401458,1,2,3,5,2
12353,12353,0.297090960213998,1,2,3,5,3
12354,12354,0.0647442032693456,1,2,3,5,4
12355,12355,-0.0283333483967934,1,2,3,5,5
12411,12411,0.796904625367174,1,2,4,1,1
12412,12412,0.73588515733106,1,2,4,1,2
12413,12413,0.683623694143599,1,2,4,1,3
12414,12414,0.451276937198947,1,2,4,1,4
12415,12415,0.358199385532808,1,2,4,1,5
12421,12421,0.729826911893367,1,2,4,2,1
12422,12422,0.668807443857253,1,2,4,2,2
12423,12423,0.616545980669792,1,2,4,2,3
12424,12424,0.38419922372514,1,2,4,2,4
12425,12425,0.291121672059001,1,2,4,2,5
12431,12431,0.672376731381541,1,2,4,3,1
12432,12432,0.611357263345427,1,2,4,3,2
12433,12433,0.559095800157966,1,2,4,3,3
12434,12434,0.326749043213314,1,2,4,3,4
12435,12435,0.233671491547175,1,2,4,3,5
12441,12441,0.416961702530791,1,2,4,4,1
12442,12442,0.355942234494676,1,2,4,4,2
12443,12443,0.303680771307215,1,2,4,4,3
12444,12444,0.071334014362563,1,2,4,4,4
12445,12445,-0.0217435373035759,1,2,4,4,5
12451,12451,0.31464305665519,1,2,4,5,1
12452,12452,0.253623588619075,1,2,4,5,2
12453,12453,0.201362125431615,1,2,4,5,3
12454,12454,-0.0309846315130375,1,2,4,5,4
12455,12455,-0.124062183179176,1,2,4,5,5
12511,12511,0.758555884534441,1,2,5,1,1
12512,12512,0.697536416498326,1,2,5,1,2
12513,12513,0.645274953310866,1,2,5,1,3
12514,12514,0.412928196366213,1,2,5,1,4
12515,12515,0.319850644700075,1,2,5,1,5
12521,12521,0.691478171060634,1,2,5,2,1
12522,12522,0.630458703024519,1,2,5,2,2
12523,12523,0.578197239837059,1,2,5,2,3
12524,12524,0.345850482892407,1,2,5,2,4
12525,12525,0.252772931226268,1,2,5,2,5
12531,12531,0.634027990548808,1,2,5,3,1
12532,12532,0.573008522512693,1,2,5,3,2
12533,12533,0.520747059325233,1,2,5,3,3
12534,12534,0.28840030238058,1,2,5,3,4
12535,12535,0.195322750714442,1,2,5,3,5
12541,12541,0.378612961698057,1,2,5,4,1
12542,12542,0.317593493661943,1,2,5,4,2
12543,12543,0.265332030474482,1,2,5,4,3
12544,12544,0.0329852735298297,1,2,5,4,4
12545,12545,-0.0600922781363094,1,2,5,4,5
12551,12551,0.276294315822457,1,2,5,5,1
12552,12552,0.215274847786342,1,2,5,5,2
12553,12553,0.163013384598881,1,2,5,5,3
12554,12554,-0.0693333723457708,1,2,5,5,4
12555,12555,-0.16241092401191,1,2,5,5,5
13111,13111,0.919595885221717,1,3,1,1,1
13112,13112,0.858576417185602,1,3,1,1,2
13113,13113,0.806314953998142,1,3,1,1,3
13114,13114,0.57396819705349,1,3,1,1,4
13115,13115,0.480890645387351,1,3,1,1,5
13121,13121,0.85251817174791,1,3,1,2,1
13122,13122,0.791498703711795,1,3,1,2,2
13123,13123,0.739237240524335,1,3,1,2,3
13124,13124,0.506890483579683,1,3,1,2,4
13125,13125,0.413812931913544,1,3,1,2,5
13131,13131,0.795067991236084,1,3,1,3,1
13132,13132,0.734048523199969,1,3,1,3,2
13133,13133,0.681787060012509,1,3,1,3,3
13134,13134,0.449440303067856,1,3,1,3,4
13135,13135,0.356362751401718,1,3,1,3,5
13141,13141,0.539652962385333,1,3,1,4,1
13142,13142,0.478633494349219,1,3,1,4,2
13143,13143,0.426372031161758,1,3,1,4,3
13144,13144,0.194025274217106,1,3,1,4,4
13145,13145,0.100947722550967,1,3,1,4,5
13151,13151,0.437334316509733,1,3,1,5,1
13152,13152,0.376314848473618,1,3,1,5,2
13153,13153,0.324053385286157,1,3,1,5,3
13154,13154,0.0917066283415051,1,3,1,5,4
13155,13155,-0.00137092332463384,1,3,1,5,5
13211,13211,0.894455346782742,1,3,2,1,1
13212,13212,0.833435878746628,1,3,2,1,2
13213,13213,0.781174415559167,1,3,2,1,3
13214,13214,0.548827658614515,1,3,2,1,4
13215,13215,0.455750106948376,1,3,2,1,5
13221,13221,0.827377633308935,1,3,2,2,1
13222,13222,0.766358165272821,1,3,2,2,2
13223,13223,0.71409670208536,1,3,2,2,3
13224,13224,0.481749945140708,1,3,2,2,4
13225,13225,0.388672393474569,1,3,2,2,5
13231,13231,0.769927452797109,1,3,2,3,1
13232,13232,0.708907984760995,1,3,2,3,2
13233,13233,0.656646521573534,1,3,2,3,3
13234,13234,0.424299764628882,1,3,2,3,4
13235,13235,0.331222212962743,1,3,2,3,5
13241,13241,0.514512423946359,1,3,2,4,1
13242,13242,0.453492955910244,1,3,2,4,2
13243,13243,0.401231492722784,1,3,2,4,3
13244,13244,0.168884735778131,1,3,2,4,4
13245,13245,0.0758071841119922,1,3,2,4,5
13251,13251,0.412193778070758,1,3,2,5,1
13252,13252,0.351174310034643,1,3,2,5,2
13253,13253,0.298912846847183,1,3,2,5,3
13254,13254,0.0665660899025306,1,3,2,5,4
13255,13255,-0.0265114617636084,1,3,2,5,5
13311,13311,0.87292318063269,1,3,3,1,1
13312,13312,0.811903712596576,1,3,3,1,2
13313,13313,0.759642249409115,1,3,3,1,3
13314,13314,0.527295492464463,1,3,3,1,4
13315,13315,0.434217940798324,1,3,3,1,5
13321,13321,0.805845467158883,1,3,3,2,1
13322,13322,0.744825999122769,1,3,3,2,2
13323,13323,0.692564535935308,1,3,3,2,3
13324,13324,0.460217778990656,1,3,3,2,4
13325,13325,0.367140227324517,1,3,3,2,5
